Track Name,artwork_url
Sajdaa,https://i.scdn.co/image/ab67616d0000b2737881b6fe1d303657f9d409eb
Mere Bina,https://i.scdn.co/image/ab67616d0000b273c32737e2c7f606beecbf1bae
Main Agar Kahoon,https://i.scdn.co/image/ab67616d0000b273675b3f7dea80153c73581e5e
"Ek Ladki Ko Dekha Toh Aisa Laga (From ""Ek Ladki Ko Dekha Toh Aisa Laga"")",https://i.scdn.co/image/ab67616d0000b2735753692ad72d2abde27bbd94
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Tujh Mein Rab Dikhta Hai,https://i.scdn.co/image/ab67616d0000b2731555fec10000486f9331fbc8
"Jeene Laga Hoon (From ""Ramaiya Vastavaiya"")",https://i.scdn.co/image/ab67616d0000b27387118f5e1463ce140fde1a0c
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Samjhawan,https://i.scdn.co/image/ab67616d0000b273d1f803cbe9c43700b4ea6895
Haule Haule,https://i.scdn.co/image/ab67616d0000b2731555fec10000486f9331fbc8
Tum Kyu Chale Ate Ho (Lofi),https://i.scdn.co/image/ab67616d0000b273aec611ea6e0513d3a2433d8d
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
"Doobey (From ""Gehraiyaan"")",https://i.scdn.co/image/ab67616d0000b273a6dd88a097d77eaa6a5f517f
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Rabba Main Toh Mar Gaya Oye,https://i.scdn.co/image/ab67616d0000b273921798bf86a4d458a45f680a
Chand Sifarish,https://i.scdn.co/image/ab67616d0000b273d2be316742edcc853ea55141
Ok Jaanu Title Track,https://i.scdn.co/image/ab67616d0000b273007759a309e7364ffc5f664a
"Banjaara (From ""Ek Villain"")",https://i.scdn.co/image/ab67616d0000b273c8d81ccb980b57d373e91f62
"Nazar Na Lag Jaaye (From ""Stree"")",https://i.scdn.co/image/ab67616d0000b273dc0eee8fc90686b176a4336e
Gehraiyaan Title Track,https://i.scdn.co/image/ab67616d0000b2738034ba22ea88a38034910fbd
"Tum Hi Ho Bandhu (From ""Cocktail"")",https://i.scdn.co/image/ab67616d0000b273e8f471585079f5ea5127f978
Tera Deedar Hua,https://i.scdn.co/image/ab67616d0000b27371da5e89467bd75d2ed9f1fa
Ishaqzaade,https://i.scdn.co/image/ab67616d0000b273689f566242484e89e9cad22a
"Yaaram (From ""Ek Thi Daayan"")",https://i.scdn.co/image/ab67616d0000b27386b2053ab7b093ee3b8e09ff
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
"Pani Da Rang Male (From ""Vicky Donor"")",https://i.scdn.co/image/ab67616d0000b2733ff48b5b950351968981c04a
Isq Risk,https://i.scdn.co/image/ab67616d0000b273a2011a6b7f81c63c1557076d
Ambarsariya,https://i.scdn.co/image/ab67616d0000b2739701faf1c34cc355fd3cd3c0
"Mar Jayian Romantic (From ""Vicky Donor"")",https://i.scdn.co/image/ab67616d0000b2735d4030696a63d9ee050ebb5b
Soch Na Sake,https://i.scdn.co/image/ab67616d0000b2736b047c1401c8c18a54e4377d
"Humsafar (From ""Badrinath Ki Dulhania"")",https://i.scdn.co/image/ab67616d0000b273dc9563139ebc2a5597254664
Kahaan Ho Tum,https://i.scdn.co/image/ab67616d0000b273a91bbfed11a109d577f06cde
Saibo,https://i.scdn.co/image/ab67616d0000b2731aac2079e5047e1bfd1b59d9
Rabba Main Toh Mar Gaya Oye,https://i.scdn.co/image/ab67616d0000b273921798bf86a4d458a45f680a
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Offo,https://i.scdn.co/image/ab67616d0000b273c7b8d39b1e113845906984ab
Achha Lagta Hai,https://i.scdn.co/image/ab67616d0000b2736c7e0852cf516e3be513330e
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Aadha Ishq,https://i.scdn.co/image/ab67616d0000b273e8a91c48543ddaf13583a09a
"Roke Na Ruke Naina (From ""Badrinath Ki Dulhania"")",https://i.scdn.co/image/ab67616d0000b2737569cbe3695608074d9fd389
Bahara,https://i.scdn.co/image/ab67616d0000b2731992dd7b33baf5887ea4a1ec
Sadka,https://i.scdn.co/image/ab67616d0000b2731992dd7b33baf5887ea4a1ec
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Matargashti,https://i.scdn.co/image/ab67616d0000b273da50894e074ecd5ce61de0a1
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Your Body On My Body,https://i.scdn.co/image/ab67616d0000b273cb3deb235f797025bd15d074
Locha-E-Ulfat,https://i.scdn.co/image/ab67616d0000b273c7b8d39b1e113845906984ab
"Bol Do Na Zara (From ""Azhar"")",https://i.scdn.co/image/ab67616d0000b273f4e88554baba207fc6878ab5
Better,https://i.scdn.co/image/ab67616d0000b273a348cd1b2496b47254acc74b
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Taare Ginn,https://i.scdn.co/image/ab67616d0000b273f3582107f127c2765fafb431
Ek Main Aur Ekk Tu,https://i.scdn.co/image/ab67616d0000b273dbde461b6d5675fac8ea50e9
Suno Aisha,https://i.scdn.co/image/ab67616d0000b273c82a4c10b28c394a59f70c0c
Tere Ho Ke Rahenge,https://i.scdn.co/image/ab67616d0000b2737878a00c1b77a9397e8364ac
Dil Dhadakne Do,https://i.scdn.co/image/ab67616d0000b2730acb5a72549287bf33b51b71
Khaabon Ke Parinday,https://i.scdn.co/image/ab67616d0000b2730acb5a72549287bf33b51b71
Sooraj Ki Baahon Mein,https://i.scdn.co/image/ab67616d0000b2730acb5a72549287bf33b51b71
Aabaad Barbaad,https://i.scdn.co/image/ab67616d0000b273b67a843ee7de84208f3e4f28
Voh Dekhnay Mein,https://i.scdn.co/image/ab67616d0000b273d9168a716dd978d5322f411a
Manchala,https://i.scdn.co/image/ab67616d0000b2732025db071cd9dd7e8023e01e
Rang Jo Lagyo,https://i.scdn.co/image/ab67616d0000b273cab73e6ac9bf4bf3c6931570
Tu Jo Mila,https://i.scdn.co/image/ab67616d0000b273e7f1ff44b74df429307f4164
Tum Ho,https://i.scdn.co/image/ab67616d0000b273d998c880f085f08c7ddeeafc
"Daaru Desi (From ""Cocktail"")",https://i.scdn.co/image/ab67616d0000b273fc41f00a5aa81b288e15a99e
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Dekha Tenu Pehli Pehli,https://i.scdn.co/image/ab67616d0000b27321749bf8bcb731ce9d679d9f
Hosanna,https://i.scdn.co/image/ab67616d0000b2739491cd8e7a5af41b96625cdc
Jashane Bahara - Slowed And Reverb,https://i.scdn.co/image/ab67616d0000b273a818075344a730003ce1eacb
You Are My Soniya,https://i.scdn.co/image/ab67616d0000b273941eb533e845e5c2299570b9
Main Hoon Na,https://i.scdn.co/image/ab67616d0000b273e7fa423de639247fed12be4a
"Ye Ishq Hai (From ""Jab We Met"")",https://i.scdn.co/image/ab67616d0000b2737842884286c2e45e5c059c57
Maahi Ve,https://i.scdn.co/image/ab67616d0000b273a2055e0b847ff66fb5206099
